temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
28.7,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.2,1003.0,40.0,28.6,28.7,28.6,0.0,0.0,0.0,0.0,10.0,6.0,3.9,6.2,Uttar Pradesh,Allahabad
27.7,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",2.2,1004.0,41.0,27.7,27.7,27.7,0.0,0.0,0.0,0.0,10.0,6.0,2.6,4.2,Uttar Pradesh,Allahabad
26.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",1.1,1004.0,42.0,26.9,26.8,26.9,0.0,0.0,0.0,0.0,10.0,6.0,1.3,2.2,Uttar Pradesh,Allahabad
26.6,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",1.3,1004.0,43.0,26.8,26.6,26.8,0.0,0.0,0.0,0.0,10.0,6.0,1.7,2.8,Uttar Pradesh,Allahabad
26.3,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",1.6,1004.0,45.0,26.6,26.3,26.6,0.0,0.0,0.0,0.0,10.0,6.0,2.1,3.4,Uttar Pradesh,Allahabad
26.2,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",7.9,1005.0,27.0,25.3,26.2,25.3,0.0,0.0,0.0,0.0,10.0,6.0,10.3,16.6,Uttar Pradesh,Agra
25.9,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",7.7,1004.0,27.0,25.1,25.9,25.1,0.0,0.0,0.0,0.0,10.0,6.0,10.0,16.1,Uttar Pradesh,Agra
25.5,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",7.4,1004.0,27.0,24.8,25.5,24.8,0.0,0.0,0.0,0.0,10.0,6.0,9.7,15.6,Uttar Pradesh,Agra
25.2,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",7.2,1004.0,27.0,24.6,25.2,24.6,0.0,0.0,0.0,0.0,10.0,6.0,9.4,15.1,Uttar Pradesh,Agra
24.7,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.6,1004.0,28.0,24.4,24.7,24.4,0.0,0.0,0.0,0.0,10.0,6.0,8.6,13.8,Uttar Pradesh,Agra
24.3,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.0,1005.0,29.0,24.2,24.3,24.2,0.0,0.0,0.0,0.0,10.0,6.0,7.8,12.5,Uttar Pradesh,Agra
23.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.4,1005.0,30.0,24.0,23.8,24.0,0.0,0.0,0.0,0.0,10.0,6.0,6.9,11.2,Uttar Pradesh,Agra
25.8,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.3,1006.0,27.0,25.2,25.8,25.2,0.0,0.0,0.0,0.0,10.0,6.0,5.8,9.4,Uttar Pradesh,Agra
27.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.2,1006.0,25.0,26.5,27.7,26.5,0.0,0.0,0.0,0.0,10.0,6.0,4.7,7.6,Uttar Pradesh,Agra
