temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,heatindex_c
27.0,Partly cloudy,14.3,1007.0,55.0,28.0,28.0
26.5,Partly cloudy,15.1,1007.0,56.0,27.5,27.5
25.9,Partly cloudy,13.7,1008.0,60.0,27.1,27.1
25.3,Partly cloudy,12.2,1008.0,64.0,26.6,26.6
24.7,Partly cloudy,10.8,1009.0,68.0,26.2,26.2
23.6,Partly cloudy,12.4,1008.0,73.0,25.6,25.6
22.5,Moderate rain,13.9,1008.0,79.0,24.9,24.9
27.1,Clear,9.4,1005.0,80.0,30.4,30.4
26.5,Clear,9.2,1005.0,83.0,29.7,29.7
25.9,Patchy rain possible,9.1,1004.0,86.0,28.9,28.9
25.3,Patchy rain possible,9.0,1004.0,89.0,28.2,28.2
25.1,Patchy rain possible,8.8,1005.0,91.0,28.0,28.0
25.0,Patchy rain possible,8.5,1005.0,92.0,27.8,27.8
24.8,Patchy rain possible,8.3,1006.0,93.0,27.6,27.6
26.4,Patchy rain possible,10.6,1006.0,87.0,30.1,30.1
28.0,Patchy rain possible,12.8,1007.0,81.0,32.7,32.7
29.6,Patchy rain possible,15.1,1008.0,75.0,35.2,35.2
30.1,Patchy rain possible,16.3,1007.0,73.0,35.9,35.9
30.6,Thundery outbreaks possible,17.5,1006.0,71.0,36.7,36.7
31.1,Thundery outbreaks possible,18.7,1005.0,69.0,37.4,37.4
30.3,Thundery outbreaks possible,16.9,1004.0,73.0,36.4,36.4
29.6,Patchy rain possible,15.1,1004.0,77.0,35.5,35.5
28.8,Patchy rain possible,13.3,1003.0,82.0,34.5,34.5
28.2,Patchy rain possible,13.1,1004.0,83.0,33.3,33.3
27.7,Patchy rain possible,12.8,1004.0,83.0,32.2,32.2
27.1,Patchy rain possible,12.6,1005.0,84.0,31.0,31.0
26.9,Patchy rain possible,11.3,1005.0,84.0,30.6,30.6
26.7,Patchy rain possible,10.0,1005.0,84.0,30.1,30.1
26.5,Patchy rain possible,8.6,1006.0,83.0,29.7,29.7
26.1,Patchy rain possible,12.1,1005.0,85.0,29.1,29.1
25.6,Partly cloudy,15.6,1005.0,86.0,28.5,28.5
28.0,Clear,10.4,1005.0,72.0,31.2,31.2
27.8,Clear,10.4,1005.0,74.0,31.0,31.0
27.6,Patchy rain possible,10.4,1004.0,75.0,30.8,30.8
27.4,Patchy rain possible,10.4,1004.0,76.0,30.6,30.6
27.0,Patchy rain possible,10.4,1005.0,79.0,30.1,30.1
26.5,Clear,10.4,1005.0,82.0,29.6,29.6
26.1,Clear,10.4,1006.0,85.0,29.1,29.1
27.4,Sunny,12.1,1006.0,79.0,31.0,31.0
28.7,Sunny,13.8,1007.0,74.0,32.8,32.8
30.0,Sunny,15.5,1007.0,69.0,34.7,34.7
31.6,Sunny,16.3,1006.0,64.0,37.3,37.3
33.2,Sunny,17.2,1005.0,59.0,39.8,39.8
34.8,Sunny,18.0,1005.0,55.0,42.4,42.4
34.5,Sunny,19.0,1004.0,55.0,41.6,41.6
34.1,Thundery outbreaks possible,19.9,1003.0,55.0,40.7,40.7
33.8,Thundery outbreaks possible,20.9,1002.0,55.0,39.9,39.9
32.2,Thundery outbreaks possible,19.8,1003.0,60.0,37.6,37.6
30.6,Partly cloudy,18.7,1003.0,65.0,35.3,35.3
29.0,Partly cloudy,17.6,1004.0,71.0,33.0,33.0
28.6,Partly cloudy,16.9,1004.0,73.0,32.5,32.5
28.3,Partly cloudy,16.2,1005.0,75.0,32.1,32.1
27.9,Partly cloudy,15.5,1005.0,77.0,31.6,31.6
27.4,Partly cloudy,15.5,1004.0,79.0,31.0,31.0
26.9,Patchy rain possible,15.5,1004.0,82.0,30.3,30.3
30.3,Partly cloudy,2.5,1005.0,35.0,29.9,29.9
29.8,Partly cloudy,6.2,1005.0,38.0,29.6,29.6
29.3,Clear,10.0,1005.0,40.0,29.3,29.3
28.8,Clear,13.7,1005.0,43.0,29.0,29.0
28.5,Clear,13.2,1005.0,44.0,28.8,28.8
28.3,Partly cloudy,12.7,1006.0,45.0,28.6,28.6
28.0,Partly cloudy,12.2,1007.0,46.0,28.4,28.4
29.0,Partly cloudy,15.1,1007.0,44.0,29.4,29.4
30.0,Partly cloudy,18.0,1008.0,42.0,30.4,30.4
31.0,Partly cloudy,20.9,1008.0,40.0,31.4,31.4
31.5,Partly cloudy,19.9,1008.0,41.0,32.3,32.3
32.1,Partly cloudy,19.0,1007.0,41.0,33.3,33.3
32.6,Partly cloudy,18.0,1006.0,42.0,34.2,34.2
32.1,Partly cloudy,18.1,1006.0,44.0,33.8,33.8
31.6,Patchy rain possible,18.2,1005.0,47.0,33.5,33.5
31.1,Patchy rain possible,18.4,1004.0,49.0,33.1,33.1
29.4,Patchy rain possible,18.8,1005.0,54.0,31.3,31.3
27.8,Light rain shower,19.3,1005.0,60.0,29.4,29.4
26.1,Light rain shower,19.8,1006.0,66.0,27.6,27.6
25.1,Light rain shower,19.6,1007.0,72.0,26.8,26.8
24.0,Light rain shower,19.3,1007.0,78.0,25.9,25.9
23.0,Light rain shower,19.1,1008.0,84.0,25.1,25.1
23.4,Light rain shower,18.6,1007.0,80.0,25.3,25.3
23.7,Light rain shower,18.1,1007.0,76.0,25.6,25.6
27.7,Partly cloudy,10.4,1005.0,57.0,29.0,29.0
27.4,Partly cloudy,10.4,1005.0,59.0,28.7,28.7
27.0,Partly cloudy,10.4,1005.0,61.0,28.5,28.5
26.7,Partly cloudy,10.4,1005.0,63.0,28.2,28.2
26.5,Partly cloudy,9.5,1005.0,65.0,28.1,28.1
26.2,Patchy rain possible,8.5,1006.0,67.0,27.9,27.9
26.0,Patchy rain possible,7.6,1006.0,70.0,27.8,27.8
27.4,Patchy rain possible,9.8,1007.0,66.0,29.7,29.7
28.8,Patchy rain possible,12.1,1007.0,63.0,31.5,31.5
30.2,Patchy rain possible,14.4,1008.0,60.0,33.4,33.4
31.2,Patchy rain possible,15.1,1007.0,58.0,35.1,35.1
32.2,Partly cloudy,15.8,1006.0,56.0,36.9,36.9
33.2,Partly cloudy,16.6,1005.0,55.0,38.6,38.6
33.1,Partly cloudy,17.2,1005.0,55.0,38.4,38.4
33.1,Thundery outbreaks possible,17.8,1004.0,55.0,38.3,38.3
33.0,Thundery outbreaks possible,18.4,1003.0,55.0,38.1,38.1
32.1,Thundery outbreaks possible,15.8,1003.0,59.0,37.1,37.1
31.2,Thundery outbreaks possible,13.3,1003.0,63.0,36.0,36.0
30.3,Thundery outbreaks possible,10.8,1003.0,67.0,35.0,35.0
29.4,Thundery outbreaks possible,12.8,1004.0,70.0,33.6,33.6
28.4,Light rain shower,14.9,1005.0,74.0,32.3,32.3
27.5,Light rain shower,16.9,1005.0,77.0,30.9,30.9
27.0,Light rain shower,14.6,1005.0,80.0,30.3,30.3
26.5,Moderate or heavy rain shower,12.4,1004.0,83.0,29.7,29.7
25.7,Light rain shower,16.9,1003.0,89.0,28.8,28.8
25.8,Light rain shower,19.2,1003.0,87.0,28.8,28.8
25.8,Moderate or heavy rain shower,21.5,1002.0,86.0,28.8,28.8
25.9,Moderate or heavy rain shower,23.8,1002.0,85.0,28.8,28.8
25.4,Moderate or heavy rain shower,24.4,1002.0,88.0,28.2,28.2
24.8,Moderate rain,25.0,1003.0,91.0,27.6,27.6
24.3,Moderate rain,25.6,1004.0,94.0,27.0,27.0
24.7,Moderate rain,26.2,1005.0,92.0,27.4,27.4
25.0,Light rain shower,26.8,1005.0,91.0,27.9,27.9
25.4,Light rain shower,27.4,1006.0,89.0,28.3,28.3
26.4,Light rain shower,26.6,1006.0,85.0,29.9,29.9
27.5,Light rain shower,25.9,1005.0,82.0,31.5,31.5
28.5,Light rain shower,25.2,1005.0,78.0,33.1,33.1
28.2,Light rain shower,24.7,1004.0,79.0,32.6,32.6
28.0,Light rain shower,24.2,1004.0,80.0,32.2,32.2
